group1,group2,significant
1,2,false
1,3,false
1,4,false
1,5,false
1,6,false
1,7,false
1,8,false
1,9,false
1,10,false
1,11,false
1,12,false
1,13,false
1,14,false
1,15,false
1,16,false
1,17,false
1,18,false
1,19,false
1,20,false
2,3,false
2,4,false
2,5,false
2,6,false
2,7,false
2,8,false
2,9,false
2,10,false
2,11,false
2,12,false
2,13,false
2,14,false
2,15,false
2,16,false
2,17,false
2,18,false
2,19,false
2,20,true
3,4,false
3,5,false
3,6,false
3,7,false
3,8,false
3,9,false
3,10,false
3,11,false
3,12,false
3,13,false
3,14,false
3,15,false
3,16,false
3,17,false
3,18,true
3,19,false
3,20,true
4,5,false
4,6,false
4,7,false
4,8,false
4,9,false
4,10,false
4,11,false
4,12,false
4,13,false
4,14,false
4,15,false
4,16,false
4,17,false
4,18,false
4,19,false
4,20,true
5,6,false
5,7,false
5,8,false
5,9,false
5,10,false
5,11,false
5,12,true
5,13,false
5,14,false
5,15,false
5,16,false
5,17,false
5,18,false
5,19,false
5,20,true
6,7,false
6,8,false
6,9,false
6,10,false
6,11,false
6,12,false
6,13,false
6,14,false
6,15,false
6,16,false
6,17,false
6,18,false
6,19,false
6,20,true
7,8,false
7,9,false
7,10,false
7,11,false
7,12,true
7,13,false
7,14,false
7,15,false
7,16,false
7,17,false
7,18,false
7,19,false
7,20,true
8,9,false
8,10,false
8,11,false
8,12,false
8,13,false
8,14,false
8,15,false
8,16,false
8,17,false
8,18,false
8,19,false
8,20,false
9,10,false
9,11,false
9,12,false
9,13,false
9,14,false
9,15,false
9,16,false
9,17,false
9,18,false
9,19,false
9,20,true
10,11,false
10,12,true
10,13,false
10,14,false
10,15,false
10,16,false
10,17,false
10,18,false
10,19,false
10,20,true
11,12,false
11,13,false
11,14,false
11,15,false
11,16,false
11,17,false
11,18,false
11,19,false
11,20,true
12,13,false
12,14,false
12,15,false
12,16,true
12,17,false
12,18,true
12,19,false
12,20,false
13,14,false
13,15,false
13,16,false
13,17,false
13,18,false
13,19,false
13,20,true
14,15,false
14,16,false
14,17,false
14,18,false
14,19,false
14,20,false
15,16,false
15,17,false
15,18,false
15,19,false
15,20,false
16,17,false
16,18,false
16,19,false
16,20,true
17,18,false
17,19,false
17,20,false
18,19,false
18,20,true
19,20,false
